brand,name,reviews_rating_number,review_amount,old_price,old_price_cents,new_price,new_price_cents
PUMA,Tênis Puma Homem Mulher Original Treino Macio 34 A 43 Barato,,,333,33,129,99
,Tênis Masculino Esportivo Academia Corrida Anti Impacto,,,78,90,66,27
FILA,Tênis Fila Maxximus Corrida - Masculino,,,499,99,50,99
FILA,Tênis Fila Maxximus Corrida Caminhada Antiderrapante,,,499,99,50,99
FILA,Tênis Fila Maxximus Corrida Macio Leve - Masculino,,,499,99,50,99
ON RUNNING,Tênis On Running Cloudflyer 5 Masculino - Preto / Branco,,,1.099,99,109,99
,Tênis Masculino Leve Respirável Versátil Macio Confortável,,,119,90,83,93
ON RUNNING,Tênis On Cloudsurfer Next Masculino - Preto / Eclipse,,,999,90,99,99
OLYMPIKUS,Tênis Olympikus Bloco Treino E Academia Masculino,,,259,99,25,21
UNDER ARMOUR,Tênis Under Armour Charged Slight 3 Amarelo,,,359,90,323,91
ASICS,Tênis Asics Florest Cinza E Azul Marinho - Masculino,,,499,99,349,02
ASICS,Tênis Asics Gel Nimbus 26 Confortável Academia Treino,,,1.299,99,935,74
UNDER ARMOUR,Tênis Under Armour Ch Slight Confortável Alta Performance,,,399,99,40,99
,Tênis Esportivo Masculino Advanced Racing Academia Corrida,,,149,90,37,48
,Tênis Masculino Advanced Racing Sport Academia Corrida,,,149,90,37,48
,Tênis Masculino Advanced Racing Academia Corrida Crossfit,,,149,90,37,48
OLYMPIKUS,Tênis Olympikus Index 3 Ref:43611218 Masculino,,,227,88,32,55
ON RUNNING,Tênis On Running Cloudhorizon Masculino - Preto / Alloy,,,1.099,99,109,99
MIZUNO,Tenis Mizuno Mirai 6 Masculino Corrida,,,523,90,50,79
MIZUNO,Tênis Mizuno Cool Ride 2 - Rosa,,,379,99,38,99
UNDER ARMOUR,Tênis Masculino Under Armour Charged Hit Se Academia Macio,,,562,98,56,30
OLYMPIKUS,Tênis Olympikus Subverse Lunar Corrida Cano Baixo Masculino,,,349,99,325,49
OLYMPIKUS,Tênis Olympikus Subverse Lunar Antiderrapante - Masculino,,,349,99,325,49
OLYMPIKUS,Tênis Olympikus Masculino Resistente Corrida Macio,,,349,99,325,49
NEW BALANCE,Tênis New Balance Fresh Foam X Kaiha Road Envio Já Masculino,,,699,99,67,86
FILA,Tênis Running Masculino Fila Float Maxxi 2 Pro Preto Grafite,,,1.111,79,933,38
MIZUNO,Tênis Mizuno Space 4 - Cinza,,,329,99,33,99
OLYMPIKUS,Tênis Olympikus Veloz 3 Masculino Leve Macio Confortavel,,,299,99,33,33
ADIDAS,Tênis adidas Latin Run 2 Unissex Corrida - Caminhada,,,349,90,34,99
FILA,Tênis Fila Progress Lite Cinza Preto Unissex ,,,299,90,284,90
ESPORTIVO,Tênis Skatista Masculino Feminino Old School Envio Imediato,,,89,93,79,13
FILA,Tênis Fila Maxximus Corrida Envio Já - Masculino,,,499,99,48,47
UNDER ARMOUR,Tênis Under Armour Corrida Macio Leve Confortável Resistente,,,499,99,48,47
UNDER ARMOUR,Tênis Original Under Armour Ua Ch.hit Se Macio - Masculino,,,499,99,48,47
NEW BALANCE,Tênis New Balance Fresh Foam X Corrida Resistente,,,699,99,67,86
NEW BALANCE,Tênis New Balance Corrida Resistente Lançamento - Masculino,,,699,99,67,86
FILA,Tênis Running Masculino Fila Float Maxxi 2 Laranja,,,864,58,734,89
,Tênis Masculino Esportivo Olymp Olimp Space Academia Oferta,,,89,90,75,51
WAVE,Kit 3 Tênis Esportivo Wave Creation 20 Academia Caminhada Or,,,219,91,31,42
,Tênis Masculino Advanced Speed Corrida Esportivo Sola Leve,,,109,90,65,94
STREET WALKER,Kit 2 Tenis Masculino Academia Treino Caminhada+relógio Slim,,,199,90,139,93
ASICS,Tênis Asics Florest Cinza E Azul Marinho - Masculino,,,499,99,340,60
MIZUNO,Tenis Masculino Mizuno Way 4 101083083,,,429,99,43,99
UNDER ARMOUR,Tênis Under Armour Ch Slight 3 Masculino Reforçado Durável,,,399,99,38,78
UNDER ARMOUR,Tênis Under Armour Ch Slight 3 Masculino Antiderrapante,,,399,99,38,78
UNDER ARMOUR,Tênis Under Armour Ch Slight 3 Masculino Alta Qualidade ,,,399,99,38,78
UNDER ARMOUR,Tênis Under Armour Corrida Resistente Confortável Masculino,,,399,99,38,78
ABUZZE,Tênis Masculino De Corrida Abuzze Original Confortavel Macio,,,99,99,33,33
COLCCI,Tênis Masculino Colcci Cosmos Moda Casual Urbano Confortável,,,459,99,197,79
STREET WALKER,Tênis Masculino Academia Corrida Esportivo Leve Confortável,,,99,99,94,99
UNDER ARMOUR,Tênis Under Armour Ch Slight Corrida Caminhada - Masculino,,,399,99,38,78
UNDER ARMOUR,Tênis Original Under Armour Ch Slight 3 Lançamento Masculino,,,399,99,38,78
MIZUNO,Tênis Mizuno Neo Vista Masculino,,,1.199,90,119,90
FILA,Tênis Running Masculino Fila Float Maxxi 2 Laranja,,,864,58,639,79
,Tênis Masculino Advanced Racing Competição Corrida Sola Leve,,,78,90,26,30
,Tênis Masculino Advanced Racing Corrida Com Sola Extra Leve,,,78,90,26,30
ABUZZE,Tênis Masculino Abuzze Run Original,,,99,90,33,30
FRONTINNI,Tênis Masculino Caminhada Leve Confortável Casual Esportivo,,,149,90,85,44
,Kit 2 Tênis Masculino Ferrari Scuderia Caminhada Leve Oferta,,,299,99,173,99
FRONTINNI,Tênis Masculino Caminhada Leve Confortável Casual Esportivo,,,149,90,85,44
OLYMPIKUS,Tênis Original Olympikus Subverse Atlantico Corrida Macio,,,349,99,33,93
